,split_mode,split_number,file_a_idx,file_a_name,file_b_idx,file_b_name,is_equal
0,zsl_split,1,0,2058003688.tif,3,2058003922.tif,1
1,zsl_split,1,0,2058003688.tif,4742,2084619658_9659.tif,0
2,zsl_split,1,1,2058003684_2058003685.tif,5,2058003961.tif,1
3,zsl_split,1,1,2058003684_2058003685.tif,1545,2069715610.tif,0
4,zsl_split,1,2,2058003689_2058003690.tif,1,2058003684_2058003685.tif,1
5,zsl_split,1,2,2058003689_2058003690.tif,2782,95824411.tif,0
6,zsl_split,1,3,2058003922.tif,1,2058003684_2058003685.tif,1
7,zsl_split,1,3,2058003922.tif,3392,528050534+-0534.tif,0
8,zsl_split,1,4,2058003944.tif,1,2058003684_2058003685.tif,1
9,zsl_split,1,4,2058003944.tif,4668,2057477664.tif,0
10,zsl_split,1,5,2058003961.tif,1,2058003684_2058003685.tif,1
11,zsl_split,1,5,2058003961.tif,3426,528026454+-6454.tif,0
12,zsl_split,1,89,0000056590.tif,95,0001464047.tif,1
13,zsl_split,1,89,0000056590.tif,2737,95824282.tif,0
14,zsl_split,1,90,0000063251.tif,93,0000064142.tif,1
15,zsl_split,1,90,0000063251.tif,3368,80020829.tif,0
16,zsl_split,1,91,0000961138.tif,93,0000064142.tif,1
17,zsl_split,1,91,0000961138.tif,3417,528006763+-6763.tif,0
18,zsl_split,1,92,0000062658.tif,99,0001464035.tif,1
19,zsl_split,1,92,0000062658.tif,3632,88131943.tif,0
20,zsl_split,1,93,0000064142.tif,98,0000064094.tif,1
21,zsl_split,1,93,0000064142.tif,4862,ti31689143.tif,0
22,zsl_split,1,94,0000064129.tif,90,0000063251.tif,1
23,zsl_split,1,94,0000064129.tif,2759,95602396.tif,0
24,zsl_split,1,95,0001464047.tif,93,0000064142.tif,1
25,zsl_split,1,95,0001464047.tif,3498,2050627319_2050627320.tif,0
26,zsl_split,1,96,0000063530.tif,98,0000064094.tif,1
27,zsl_split,1,96,0000063530.tif,1475,2031294573.tif,0
28,zsl_split,1,97,0000061197.tif,100,0000061196.tif,1
29,zsl_split,1,97,0000061197.tif,3796,03724741.tif,0
30,zsl_split,1,98,0000064094.tif,96,0000063530.tif,1
31,zsl_split,1,98,0000064094.tif,3622,88132063.tif,0
32,zsl_split,1,99,0001464035.tif,100,0000061196.tif,1
33,zsl_split,1,99,0001464035.tif,2774,95602622.tif,0
34,zsl_split,1,100,0000061196.tif,89,0000056590.tif,1
35,zsl_split,1,100,0000061196.tif,1466,2069718411.tif,0
36,zsl_split,1,121,1000770313_1000770314.tif,123,1000766586_6587.tif,1
37,zsl_split,1,121,1000770313_1000770314.tif,3801,1002934836_1002934886.tif,0
38,zsl_split,1,122,1000771450_1000771451.tif,121,1000770313_1000770314.tif,1
39,zsl_split,1,122,1000771450_1000771451.tif,3592,88131652.tif,0
40,zsl_split,1,123,1000766586_6587.tif,122,1000771450_1000771451.tif,1
41,zsl_split,1,123,1000766586_6587.tif,1538,2069722252.tif,0
42,zsl_split,1,457,0000400105.tif,463,0000400102.tif,1
43,zsl_split,1,457,0000400105.tif,2204,03669266.tif,0
44,zsl_split,1,458,0000400114.tif,462,0000400132.tif,1
45,zsl_split,1,458,0000400114.tif,1318,2069737738.tif,0
46,zsl_split,1,459,0000400139.tif,461,0000400086.tif,1
47,zsl_split,1,459,0000400139.tif,2205,517158984+-8984.tif,0
48,zsl_split,1,460,0000400104.tif,464,0000400128.tif,1
49,zsl_split,1,460,0000400104.tif,4802,2084105284_5285.tif,0
50,zsl_split,1,461,0000400086.tif,457,0000400105.tif,1
51,zsl_split,1,461,0000400086.tif,1521,2069725294.tif,0
52,zsl_split,1,462,0000400132.tif,464,0000400128.tif,1
53,zsl_split,1,462,0000400132.tif,4722,2057477879_2057477887.tif,0
54,zsl_split,1,463,0000400102.tif,464,0000400128.tif,1
55,zsl_split,1,463,0000400102.tif,4842,ti31689170.tif,0
56,zsl_split,1,464,0000400128.tif,469,0000400100.tif,1
57,zsl_split,1,464,0000400128.tif,0,2058003688.tif,0
58,zsl_split,1,465,0000400113.tif,457,0000400105.tif,1
59,zsl_split,1,465,0000400113.tif,1315,2069713778.tif,0
60,zsl_split,1,466,0000400087.tif,462,0000400132.tif,1
61,zsl_split,1,466,0000400087.tif,4832,2084116171_6172.tif,0
62,zsl_split,1,467,0000400148.tif,472,0000400137.tif,1
63,zsl_split,1,467,0000400148.tif,2905,95602428.tif,0
64,zsl_split,1,468,0000400150.tif,467,0000400148.tif,1
65,zsl_split,1,468,0000400150.tif,3443,528007584+-7584.tif,0
66,zsl_split,1,469,0000400100.tif,468,0000400150.tif,1
67,zsl_split,1,469,0000400100.tif,4044,2047611264.tif,0
68,zsl_split,1,470,0000400084.tif,468,0000400150.tif,1
69,zsl_split,1,470,0000400084.tif,2823,95602652.tif,0
70,zsl_split,1,471,0000400129.tif,461,0000400086.tif,1
71,zsl_split,1,471,0000400129.tif,4867,0060351122.tif,0
72,zsl_split,1,472,0000400137.tif,468,0000400150.tif,1
73,zsl_split,1,472,0000400137.tif,2236,2049433430.tif,0
74,zsl_split,1,1285,2069730639.tif,1530,2069738577.tif,1
75,zsl_split,1,1285,2069730639.tif,2204,03669266.tif,0
76,zsl_split,1,1286,2069740103.tif,1491,2069738697.tif,1
77,zsl_split,1,1286,2069740103.tif,4775,2084080057_0058.tif,0
78,zsl_split,1,1287,2069719142.tif,1391,2069724261.tif,1
79,zsl_split,1,1287,2069719142.tif,4819,2084610152_0153.tif,0
80,zsl_split,1,1288,2069710261.tif,1466,2069718411.tif,1
81,zsl_split,1,1288,2069710261.tif,2907,95602656.tif,0
82,zsl_split,1,1289,2069711785.tif,1498,2069714122.tif,1
83,zsl_split,1,1289,2069711785.tif,2869,95824835.tif,0
84,zsl_split,1,1290,2069724510.tif,1395,2069713978.tif,1
85,zsl_split,1,1290,2069724510.tif,2766,95824767.tif,0
86,zsl_split,1,1291,2069723839.tif,1515,2069714330.tif,1
87,zsl_split,1,1291,2069723839.tif,464,0000400128.tif,0
88,zsl_split,1,1292,2069731567.tif,1511,2069731777.tif,1
89,zsl_split,1,1292,2069731567.tif,4744,2084592420_2421.tif,0
90,zsl_split,1,1293,2069728550.tif,1518,2069733689.tif,1
91,zsl_split,1,1293,2069728550.tif,2796,95602721.tif,0
92,zsl_split,1,1294,2069712008.tif,1538,2069722252.tif,1
93,zsl_split,1,1294,2069712008.tif,3535,2070001147.tif,0
94,zsl_split,1,1295,2069715073.tif,1382,2069725718.tif,1
95,zsl_split,1,1295,2069715073.tif,4790,2084068278_8279.tif,0
96,zsl_split,1,1296,2069738685.tif,1392,2069713827.tif,1
97,zsl_split,1,1296,2069738685.tif,4664,2057403507_2057403517.tif,0
98,zsl_split,1,1297,2069740196.tif,1292,2069731567.tif,1
99,zsl_split,1,1297,2069740196.tif,2789,95824920a.tif,0
100,zsl_split,1,1298,2069730044.tif,1464,2069719076.tif,1
101,zsl_split,1,1298,2069730044.tif,2774,95602622.tif,0
102,zsl_split,1,1299,2069737741.tif,1414,2069736692.tif,1
103,zsl_split,1,1299,2069737741.tif,2878,95824897.tif,0
104,zsl_split,1,1300,2069710978.tif,1290,2069724510.tif,1
105,zsl_split,1,1300,2069710978.tif,3582,88132028.tif,0
106,zsl_split,1,1301,2069713907.tif,1315,2069713778.tif,1
107,zsl_split,1,1301,2069713907.tif,4797,2084614698.tif,0
108,zsl_split,1,1302,2069729419.tif,1285,2069730639.tif,1
109,zsl_split,1,1302,2069729419.tif,4781,2070262281.tif,0
110,zsl_split,1,1303,2069730524.tif,1555,2069725636.tif,1
111,zsl_split,1,1303,2069730524.tif,4815,2070708378.tif,0
